,id,year,venue,team_A,team_B,Runs_in_Powerplay,Wickets_lost_in_Powerplay,Runs_in_middle_overs,Wickets_lost_in_middle_overs,Runs_in_Death_overs,Wickets_lost_in_death_overs,Total_Score_A,Total_Wicket_A,toss_winner,toss_decision,city,winner,event,match_id,innings_number,updated_venue,update_city
65,1130746B,2018,Shere Bangla National Stadium,Sri Lanka,Bangladesh,67,1,114,3,13,0,194,4,Bangladesh,bat,Dhaka,Sri Lanka,Sri Lanka tour of Bangladesh,1130746,B,Shere Bangla National Stadium,Dhaka
66,1072207A,2016,Dubai International Cricket Stadium,United Arab Emirates,Afghanistan,56,1,64,1,59,1,179,3,United Arab Emirates,bat,,Afghanistan,Afghanistan in United Arab Emirates T20I Series,1072207,A,Dubai International Cricket Stadium,-
66,1072207B,2016,Dubai International Cricket Stadium,Afghanistan,United Arab Emirates,55,1,85,4,43,0,183,5,United Arab Emirates,bat,,Afghanistan,Afghanistan in United Arab Emirates T20I Series,1072207,B,Dubai International Cricket Stadium,-
67,546477A,2012,Dubai International Cricket Stadium,Afghanistan,Ireland,55,2,63,2,34,3,152,7,Afghanistan,bat,,Ireland,ICC World Twenty20 Qualifier,546477,A,Dubai International Cricket Stadium,-
67,546477B,2012,Dubai International Cricket Stadium,Ireland,Afghanistan,62,2,75,2,19,1,156,5,Afghanistan,bat,,Ireland,ICC World Twenty20 Qualifier,546477,B,Dubai International Cricket Stadium,-
68,1299578A,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Germany,Canada,31,1,72,3,28,1,131,5,Canada,field,Al Amarat,Canada,ICC Men's T20 World Cup Qualifier A,1299578,A,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat
68,1299578B,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Canada,Germany,40,1,64,1,28,2,132,4,Canada,field,Al Amarat,Canada,ICC Men's T20 World Cup Qualifier A,1299578,B,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat
69,489212A,2011,Beausejour Stadium,West Indies,Pakistan,47,0,71,2,32,4,150,6,West Indies,bat,St Lucia,West Indies,,489212,A,Beausejour Stadium,St Lucia
69,489212B,2011,Beausejour Stadium,Pakistan,West Indies,47,2,63,5,33,2,143,9,West Indies,bat,St Lucia,West Indies,,489212,B,Beausejour Stadium,St Lucia
70,1142501A,2018,Hazelaarweg,Netherlands,Ireland,52,2,65,3,27,4,144,9,Ireland,field,Rotterdam,Netherlands,Netherlands Tri-Nation T20I Series,1142501,A,Hazelaarweg,Rotterdam
70,1142501B,2018,Hazelaarweg,Ireland,Netherlands,34,2,57,5,49,1,140,8,Ireland,field,Rotterdam,Netherlands,Netherlands Tri-Nation T20I Series,1142501,B,Hazelaarweg,Rotterdam
71,287879A,2007,New Wanderers Stadium,India,Pakistan,40,2,74,2,43,1,157,5,India,bat,Johannesburg,India,ICC World Twenty20,287879,A,New Wanderers Stadium,Johannesburg
71,287879B,2007,New Wanderers Stadium,Pakistan,India,53,3,51,4,48,3,152,10,India,bat,Johannesburg,India,ICC World Twenty20,287879,B,New Wanderers Stadium,Johannesburg
72,951353A,2016,M Chinnaswamy Stadium,India,Bangladesh,42,1,72,3,32,2,146,6,Bangladesh,field,Bangalore,India,World T20,951353,A,M Chinnaswamy Stadium,Bangalore
72,951353B,2016,M Chinnaswamy Stadium,Bangladesh,India,45,1,68,4,32,4,145,9,Bangladesh,field,Bangalore,India,World T20,951353,B,M Chinnaswamy Stadium,Bangalore
73,298795A,2007,New Wanderers Stadium,New Zealand,South Africa,39,2,58,3,32,1,129,6,South Africa,field,Johannesburg,South Africa,,298795,A,New Wanderers Stadium,Johannesburg
73,298795B,2007,New Wanderers Stadium,South Africa,New Zealand,40,2,69,2,22,2,131,6,South Africa,field,Johannesburg,South Africa,,298795,B,New Wanderers Stadium,Johannesburg
74,951347A,2016,M Chinnaswamy Stadium,Bangladesh,Australia,33,2,75,2,48,0,156,4,Australia,field,Bangalore,Australia,World T20,951347,A,M Chinnaswamy Stadium,Bangalore
74,951347B,2016,M Chinnaswamy Stadium,Australia,Bangladesh,51,0,84,4,22,3,157,7,Australia,field,Bangalore,Australia,World T20,951347,B,M Chinnaswamy Stadium,Bangalore
75,439499A,2010,Dubai International Cricket Stadium,Canada,Kenya,37,2,68,2,33,5,138,9,Kenya,field,,Kenya,ICC World Twenty20 Qualifier,439499,A,Dubai International Cricket Stadium,-
75,439499B,2010,Dubai International Cricket Stadium,Kenya,Canada,76,0,65,0,0,0,141,0,Kenya,field,,Kenya,ICC World Twenty20 Qualifier,439499,B,Dubai International Cricket Stadium,-
76,1077948A,2017,Queen's Park Oval,Pakistan,West Indies,33,1,58,5,41,3,132,9,West Indies,field,Trinidad,Pakistan,Pakistan in West Indies T20I Series,1077948,A,Queen's Park Oval,Trinidad
76,1077948B,2017,Queen's Park Oval,West Indies,Pakistan,35,1,60,4,34,2,129,7,West Indies,field,Trinidad,Pakistan,Pakistan in West Indies T20I Series,1077948,B,Queen's Park Oval,Trinidad
77,1332506A,2022,Willowmoore Park,Cameroon,Kenya,25,1,23,8,0,0,48,9,Kenya,field,Benoni,Kenya,Africa Cricket Association Cup,1332506,A,Willowmoore Park,Benoni
77,1332506B,2022,Willowmoore Park,Kenya,Cameroon,50,1,0,0,0,0,50,1,Kenya,field,Benoni,Kenya,Africa Cricket Association Cup,1332506,B,Willowmoore Park,Benoni
78,1201682A,2019,Indian Association Ground,Singapore,Zimbabwe,62,0,98,5,21,4,181,9,Singapore,bat,Singapore,Singapore,Singapore Twenty20 Tri-Series,1201682,A,Indian Association Ground,Singapore
78,1201682B,2019,Indian Association Ground,Zimbabwe,Singapore,64,2,101,2,12,3,177,7,Singapore,bat,Singapore,Singapore,Singapore Twenty20 Tri-Series,1201682,B,Indian Association Ground,Singapore
79,1201669A,2019,La Manga Club Bottom Ground,Gibraltar,Portugal,41,1,43,3,29,1,113,5,Gibraltar,bat,Murcia,Portugal,Iberia Cup,1201669,A,La Manga Club Bottom Ground,Murcia
79,1201669B,2019,La Manga Club Bottom Ground,Portugal,Gibraltar,26,2,57,2,33,0,116,4,Gibraltar,bat,Murcia,Portugal,Iberia Cup,1201669,B,La Manga Club Bottom Ground,Murcia
80,350476A,2009,SuperSport Park,South Africa,Australia,36,2,83,2,37,1,156,5,Australia,field,Centurion,South Africa,Australia in South Africa T20I Series,350476,A,SuperSport Park,Centurion
80,350476B,2009,SuperSport Park,Australia,South Africa,42,2,64,4,33,2,139,8,Australia,field,Centurion,South Africa,Australia in South Africa T20I Series,350476,B,SuperSport Park,Centurion
81,356007A,2009,Kennington Oval,South Africa,West Indies,54,1,97,2,32,4,183,7,West Indies,field,London,South Africa,ICC World Twenty20,356007,A,Kennington Oval,London
81,356007B,2009,Kennington Oval,West Indies,South Africa,45,2,88,3,30,4,163,9,West Indies,field,London,South Africa,ICC World Twenty20,356007,B,Kennington Oval,London
82,560922A,2012,Central Broward Regional Park Stadium Turf Ground,West Indies,New Zealand,43,1,81,3,53,1,177,5,West Indies,bat,Lauderhill,West Indies,New Zealand v West Indies T20I Series,560922,A,Central Broward Regional Park Stadium Turf Ground,Lauderhill
82,560922B,2012,Central Broward Regional Park Stadium Turf Ground,New Zealand,West Indies,33,3,61,5,22,2,116,10,West Indies,bat,Lauderhill,West Indies,New Zealand v West Indies T20I Series,560922,B,Central Broward Regional Park Stadium Turf Ground,Lauderhill
83,356013A,2009,Trent Bridge,Sri Lanka,New Zealand,51,2,73,1,34,1,158,4,Sri Lanka,bat,Nottingham,Sri Lanka,ICC World Twenty20,356013,A,Trent Bridge,Nottingham
83,356013B,2009,Trent Bridge,New Zealand,Sri Lanka,46,2,56,7,8,1,110,10,Sri Lanka,bat,Nottingham,Sri Lanka,ICC World Twenty20,356013,B,Trent Bridge,Nottingham
84,682937A,2014,Zahur Ahmed Chowdhury Stadium,South Africa,Netherlands,58,2,62,4,25,3,145,9,Netherlands,field,Chittagong,South Africa,World T20,682937,A,Zahur Ahmed Chowdhury Stadium,Chattogram
84,682937B,2014,Zahur Ahmed Chowdhury Stadium,Netherlands,South Africa,63,1,65,5,11,2,139,8,Netherlands,field,Chittagong,South Africa,World T20,682937,B,Zahur Ahmed Chowdhury Stadium,Chattogram
85,1336953A,2022,Sano International Cricket Ground,Indonesia,Japan,24,3,43,3,16,4,83,10,Indonesia,bat,Sano,Japan,ICC Men's T20 World Cup East Asia-Pacific Region Qualifier B,1336953,A,Sano International Cricket Ground,Sano
85,1336953B,2022,Sano International Cricket Ground,Japan,Indonesia,63,3,21,2,0,0,84,5,Indonesia,bat,Sano,Japan,ICC Men's T20 World Cup East Asia-Pacific Region Qualifier B,1336953,B,Sano International Cricket Ground,Sano
86,1142918A,2018,Harare Sports Club,Zimbabwe,Australia,44,3,70,1,37,5,151,9,Zimbabwe,bat,,Australia,Zimbabwe Twenty20 Tri-Series,1142918,A,Harare Sports Club,-
86,1142918B,2018,Harare Sports Club,Australia,Zimbabwe,35,2,93,0,26,3,154,5,Zimbabwe,bat,,Australia,Zimbabwe Twenty20 Tri-Series,1142918,B,Harare Sports Club,-
87,1268191A,2021,Marsa Sports Club,Belgium,Malta,34,3,61,3,33,1,128,7,Belgium,bat,Marsa,Malta,Belgium tour of Malta,1268191,A,Marsa Sports Club,Marsa
87,1268191B,2021,Marsa Sports Club,Malta,Belgium,30,3,65,2,30,2,125,7,Belgium,bat,Marsa,Malta,Belgium tour of Malta,1268191,B,Marsa Sports Club,Marsa
88,1217745A,2020,Terdthai Cricket Ground,Singapore,Hong Kong,59,1,67,2,42,2,168,5,Singapore,bat,Bangkok,Singapore,ACC Eastern Region T20,1217745,A,Terdthai Cricket Ground,Bangkok
88,1217745B,2020,Terdthai Cricket Ground,Hong Kong,Singapore,46,2,72,3,34,3,152,8,Singapore,bat,Bangkok,Singapore,ACC Eastern Region T20,1217745,B,Terdthai Cricket Ground,Bangkok
89,682923A,2014,Zahur Ahmed Chowdhury Stadium,Sri Lanka,South Africa,51,2,77,2,37,3,165,7,Sri Lanka,bat,Chittagong,Sri Lanka,World T20,682923,A,Zahur Ahmed Chowdhury Stadium,Chattogram
89,682923B,2014,Zahur Ahmed Chowdhury Stadium,South Africa,Sri Lanka,40,1,80,3,40,4,160,8,Sri Lanka,bat,Chittagong,Sri Lanka,World T20,682923,B,Zahur Ahmed Chowdhury Stadium,Chattogram
90,636538A,2014,Kensington Oval,England,West Indies,64,0,61,3,40,3,165,6,England,bat,Barbados,England,England in West Indies T20I Series,636538,A,Kensington Oval,Bridgetown
90,636538B,2014,Kensington Oval,West Indies,England,35,3,78,2,47,2,160,7,England,bat,Barbados,England,England in West Indies T20I Series,636538,B,Kensington Oval,Bridgetown
91,1336951A,2022,Sano International Cricket Ground,Indonesia,South Korea,46,2,65,0,19,4,130,6,South Korea,field,Sano,Indonesia,ICC Men's T20 World Cup East Asia-Pacific Region Qualifier B,1336951,A,Sano International Cricket Ground,Sano
91,1336951B,2022,Sano International Cricket Ground,South Korea,Indonesia,29,4,37,6,0,0,66,10,South Korea,field,Sano,Indonesia,ICC Men's T20 World Cup East Asia-Pacific Region Qualifier B,1336951,B,Sano International Cricket Ground,Sano
92,682935A,2014,Shere Bangla National Stadium,West Indies,Bangladesh,36,0,87,2,48,5,171,7,Bangladesh,field,Mirpur,West Indies,World T20,682935,A,Shere Bangla National Stadium,Dhaka
92,682935B,2014,Shere Bangla National Stadium,Bangladesh,West Indies,29,3,48,5,21,2,98,10,Bangladesh,field,Mirpur,West Indies,World T20,682935,B,Shere Bangla National Stadium,Dhaka
93,682921A,2014,Shere Bangla National Stadium,Pakistan,India,34,1,66,3,30,3,130,7,India,field,Mirpur,India,World T20,682921,A,Shere Bangla National Stadium,Dhaka
93,682921B,2014,Shere Bangla National Stadium,India,Pakistan,38,0,76,3,17,0,131,3,India,field,Mirpur,India,World T20,682921,B,Shere Bangla National Stadium,Dhaka
94,1257405A,2021,Wanderers Cricket Ground,Namibia,Uganda,30,3,70,1,34,2,134,6,Namibia,bat,Windhoek,Namibia,Uganda tour of Namibia,1257405,A,Wanderers Cricket Ground,Windhoek
94,1257405B,2021,Wanderers Cricket Ground,Uganda,Namibia,19,3,46,1,0,0,65,4,Namibia,bat,Windhoek,Namibia,Uganda tour of Namibia,1257405,B,Wanderers Cricket Ground,Windhoek
95,1217747A,2020,Terdthai Cricket Ground,Malaysia,Hong Kong,41,1,58,3,33,2,132,6,Malaysia,bat,Bangkok,Hong Kong,ACC Eastern Region T20,1217747,A,Terdthai Cricket Ground,Bangkok
95,1217747B,2020,Terdthai Cricket Ground,Hong Kong,Malaysia,39,0,66,1,28,1,133,2,Malaysia,bat,Bangkok,Hong Kong,ACC Eastern Region T20,1217747,B,Terdthai Cricket Ground,Bangkok
96,356005A,2009,Lord's,Sri Lanka,Pakistan,65,0,63,3,22,3,150,6,Sri Lanka,bat,London,Sri Lanka,ICC World Twenty20,356005,A,Lord's,London
96,356005B,2009,Lord's,Pakistan,Sri Lanka,36,3,67,2,28,4,131,9,Sri Lanka,bat,London,Sri Lanka,ICC World Twenty20,356005,B,Lord's,London
97,682909A,2014,Sylhet Stadium,Netherlands,Zimbabwe,38,3,65,1,37,0,140,4,Netherlands,bat,,Zimbabwe,World T20,682909,A,Sylhet Stadium,-
97,682909B,2014,Sylhet Stadium,Zimbabwe,Netherlands,37,1,64,2,45,2,146,5,Netherlands,bat,,Zimbabwe,World T20,682909,B,Sylhet Stadium,-
98,356011A,2009,Kennington Oval,England,West Indies,49,1,73,2,39,1,161,4,England,bat,London,West Indies,ICC World Twenty20,356011,A,Kennington Oval,London
98,356011B,2009,Kennington Oval,West Indies,England,51,5,31,0,0,0,82,5,England,bat,London,West Indies,ICC World Twenty20,356011,B,Kennington Oval,London
99,685727A,2013,New Wanderers Stadium,South Africa,Pakistan,60,0,51,4,42,3,153,7,Pakistan,field,Johannesburg,South Africa,Pakistan in South Africa T20I Series,685727,A,New Wanderers Stadium,Johannesburg
99,685727B,2013,New Wanderers Stadium,Pakistan,South Africa,40,1,20,1,0,0,60,2,Pakistan,field,Johannesburg,South Africa,Pakistan in South Africa T20I Series,685727,B,New Wanderers Stadium,Johannesburg
100,361656A,2008,Maple Leaf North-West Ground,Sri Lanka,Pakistan,52,1,67,3,18,5,137,9,Pakistan,field,King City,Pakistan,T20 Canada,361656,A,Maple Leaf North-West Ground,King City
100,361656B,2008,Maple Leaf North-West Ground,Pakistan,Sri Lanka,31,1,61,5,49,0,141,6,Pakistan,field,King City,Pakistan,T20 Canada,361656,B,Maple Leaf North-West Ground,King City
101,1201680A,2019,Indian Association Ground,Nepal,Zimbabwe,30,1,64,4,38,1,132,6,Nepal,bat,Singapore,Zimbabwe,Singapore Twenty20 Tri-Series,1201680,A,Indian Association Ground,Singapore
101,1201680B,2019,Indian Association Ground,Zimbabwe,Nepal,39,4,67,1,27,0,133,5,Nepal,bat,Singapore,Zimbabwe,Singapore Twenty20 Tri-Series,1201680,B,Indian Association Ground,Singapore
102,1310941A,2022,Queens Sports Club,Zimbabwe,Namibia,47,0,67,4,43,3,157,7,Namibia,field,Bulawayo,Namibia,Namibia tour of Zimbabwe,1310941,A,Queens Sports Club,Bulawayo
102,1310941B,2022,Queens Sports Club,Namibia,Zimbabwe,48,1,81,1,32,1,161,3,Namibia,field,Bulawayo,Namibia,Namibia tour of Zimbabwe,1310941,B,Queens Sports Club,Bulawayo
103,1332510A,2022,Willowmoore Park,Tanzania,Uganda,65,0,73,3,36,2,174,5,Uganda,field,Benoni,Uganda,Africa Cricket Association Cup,1332510,A,Willowmoore Park,Benoni
103,1332510B,2022,Willowmoore Park,Uganda,Tanzania,46,1,75,0,54,0,175,1,Uganda,field,Benoni,Uganda,Africa Cricket Association Cup,1332510,B,Willowmoore Park,Benoni
104,930585A,2015,Sheikh Zayed Stadium,Afghanistan,Oman,41,1,74,2,45,0,160,3,Oman,field,Abu Dhabi,Afghanistan,Afghanistan v Oman T20I Series,930585,A,Sheikh Zayed Stadium,Abu Dhabi
104,930585B,2015,Sheikh Zayed Stadium,Oman,Afghanistan,41,2,68,2,39,3,148,7,Oman,field,Abu Dhabi,Afghanistan,Afghanistan v Oman T20I Series,930585,B,Sheikh Zayed Stadium,Abu Dhabi
105,1332504A,2022,Willowmoore Park,Botswana,Mozambique,41,0,79,2,65,3,185,5,Mozambique,field,Benoni,Botswana,Africa Cricket Association Cup,1332504,A,Willowmoore Park,Benoni
105,1332504B,2022,Willowmoore Park,Mozambique,Botswana,24,2,53,5,16,3,93,10,Mozambique,field,Benoni,Botswana,Africa Cricket Association Cup,1332504,B,Willowmoore Park,Benoni
106,571150A,2012,Dubai International Cricket Stadium,Australia,Pakistan,42,0,103,3,23,4,168,7,Pakistan,field,,Australia,Pakistan v Australia T20I Series,571150,A,Dubai International Cricket Stadium,-
106,571150B,2012,Dubai International Cricket Stadium,Pakistan,Australia,21,4,39,3,14,2,74,9,Pakistan,field,,Australia,Pakistan v Australia T20I Series,571150,B,Dubai International Cricket Stadium,-
107,1282748A,2021,Desert Springs Cricket Ground,Italy,Germany,47,1,44,3,26,5,117,9,Germany,field,Almeria,Italy,ICC Men's T20 World Cup Europe Region Qualifier,1282748,A,Desert Springs Cricket Ground,Almeria
107,1282748B,2021,Desert Springs Cricket Ground,Germany,Italy,21,1,51,4,44,0,116,5,Germany,field,Almeria,Italy,ICC Men's T20 World Cup Europe Region Qualifier,1282748,B,Desert Springs Cricket Ground,Almeria
108,951351A,2016,Feroz Shah Kotla,England,Afghanistan,42,4,52,3,48,0,142,7,England,bat,Delhi,England,World T20,951351,A,Feroz Shah Kotla,Delhi
108,951351B,2016,Feroz Shah Kotla,Afghanistan,England,28,2,60,4,39,2,127,8,England,bat,Delhi,England,World T20,951351,B,Feroz Shah Kotla,Delhi
109,1284488A,2021,West End Park International Cricket Stadium,Qatar,Bahrain,32,2,63,3,38,0,133,5,Bahrain,field,Doha,Bahrain,ICC Men's T20 World Cup Asia A Qualifier,1284488,A,West End Park International Cricket Stadium,Doha
109,1284488B,2021,West End Park International Cricket Stadium,Bahrain,Qatar,82,0,52,2,0,0,134,2,Bahrain,field,Doha,Bahrain,ICC Men's T20 World Cup Asia A Qualifier,1284488,B,West End Park International Cricket Stadium,Doha
110,1237124A,2020,Newlands,South Africa,England,44,1,79,2,68,0,191,3,South Africa,bat,Cape Town,England,England tour of South Africa,1237124,A,Newlands,Cape Town
110,1237124B,2020,Newlands,England,South Africa,56,0,112,0,24,0,192,0,South Africa,bat,Cape Town,England,England tour of South Africa,1237124,B,Newlands,Cape Town
111,1142503A,2018,Sportpark Het Schootsveld,Ireland,Scotland,68,1,99,2,38,2,205,5,Ireland,bat,Deventer,Ireland,Netherlands Tri-Nation T20I Series,1142503,A,Sportpark Het Schootsveld,Deventer
111,1142503B,2018,Sportpark Het Schootsveld,Scotland,Ireland,60,0,70,3,29,1,159,4,Ireland,bat,Deventer,Ireland,Netherlands Tri-Nation T20I Series,1142503,B,Sportpark Het Schootsveld,Deventer
112,951345A,2016,M Chinnaswamy Stadium,Sri Lanka,West Indies,41,1,49,3,32,4,122,8,West Indies,field,Bangalore,West Indies,World T20,951345,A,M Chinnaswamy Stadium,Bangalore
112,951345B,2016,M Chinnaswamy Stadium,West Indies,Sri Lanka,39,1,60,2,28,0,127,3,West Indies,field,Bangalore,West Indies,World T20,951345,B,M Chinnaswamy Stadium,Bangalore
113,521217A,2011,Eden Gardens,India,England,32,3,59,3,29,3,120,9,India,bat,Kolkata,England,,521217,A,Eden Gardens,Kolkata
113,521217B,2011,Eden Gardens,England,India,28,1,78,2,15,0,121,3,India,bat,Kolkata,England,,521217,B,Eden Gardens,Kolkata
114,287853A,2007,New Wanderers Stadium,West Indies,South Africa,54,0,123,2,28,4,205,6,South Africa,field,Johannesburg,South Africa,ICC World Twenty20,287853,A,New Wanderers Stadium,Johannesburg
114,287853B,2007,New Wanderers Stadium,South Africa,West Indies,59,1,121,1,28,0,208,2,South Africa,field,Johannesburg,South Africa,ICC World Twenty20,287853,B,New Wanderers Stadium,Johannesburg
115,1187677A,2020,Eden Park,New Zealand,India,68,0,97,3,38,2,203,5,India,field,Auckland,India,India tour of New Zealand,1187677,A,Eden Park,Auckland
115,1187677B,2020,Eden Park,India,New Zealand,65,1,100,3,39,0,204,4,India,field,Auckland,India,India tour of New Zealand,1187677,B,Eden Park,Auckland
116,1327280A,2022,Dubai International Cricket Stadium,Pakistan,Sri Lanka,49,1,46,6,26,3,121,10,Sri Lanka,field,Dubai,Sri Lanka,Asia Cup,1327280,A,Dubai International Cricket Stadium,Dubai
116,1327280B,2022,Dubai International Cricket Stadium,Sri Lanka,Pakistan,37,3,70,1,17,1,124,5,Sri Lanka,field,Dubai,Sri Lanka,Asia Cup,1327280,B,Dubai International Cricket Stadium,Dubai
117,1199515A,2019,ICC Academy,Kenya,Bermuda,36,2,64,1,38,0,138,3,Kenya,bat,Dubai,Kenya,ICC Men's T20 World Cup Qualifier,1199515,A,ICC Academy,Dubai
117,1199515B,2019,ICC Academy,Bermuda,Kenya,23,3,55,5,15,1,93,9,Kenya,bat,Dubai,Kenya,ICC Men's T20 World Cup Qualifier,1199515,B,ICC Academy,Dubai
118,1007659A,2016,Harare Sports Club,India,Zimbabwe,29,3,64,1,45,2,138,6,Zimbabwe,field,,India,India in Zimbabwe T20I Series,1007659,A,Harare Sports Club,-
118,1007659B,2016,Harare Sports Club,Zimbabwe,India,40,1,57,1,38,2,135,4,Zimbabwe,field,,India,India in Zimbabwe T20I Series,1007659,B,Harare Sports Club,-
119,439510A,2010,Dubai International Cricket Stadium,Ireland,Netherlands,37,1,81,4,33,1,151,6,Ireland,bat,,Ireland,ICC World Twenty20 Qualifier,439510,A,Dubai International Cricket Stadium,-
119,439510B,2010,Dubai International Cricket Stadium,Netherlands,Ireland,36,1,50,7,0,0,86,8,Ireland,bat,,Ireland,ICC World Twenty20 Qualifier,439510,B,Dubai International Cricket Stadium,-
120,1199501A,2019,ICC Academy,Netherlands,Kenya,61,1,66,3,39,0,166,4,Netherlands,bat,Dubai,Netherlands,ICC Men's T20 World Cup Qualifier,1199501,A,ICC Academy,Dubai
120,1199501B,2019,ICC Academy,Kenya,Netherlands,30,2,82,2,24,4,136,8,Netherlands,bat,Dubai,Netherlands,ICC Men's T20 World Cup Qualifier,1199501,B,ICC Academy,Dubai
121,1275277A,2021,Moara Vlasiei Cricket Ground,Romania,Luxembourg,49,3,80,2,27,5,156,10,Romania,bat,Ilfov County,Romania,Continental Cup,1275277,A,Moara Vlasiei Cricket Ground,Ilfov County
121,1275277B,2021,Moara Vlasiei Cricket Ground,Luxembourg,Romania,34,3,52,5,37,1,123,9,Romania,bat,Ilfov County,Romania,Continental Cup,1275277,B,Moara Vlasiei Cricket Ground,Ilfov County
