,id,year,venue,team_A,team_B,Runs_in_Powerplay,Wickets_lost_in_Powerplay,Runs_in_middle_overs,Wickets_lost_in_middle_overs,Runs_in_Death_overs,Wickets_lost_in_death_overs,Total_Score_A,Total_Wicket_A,toss_winner,toss_decision,city,winner,event,match_id,innings_number
68,1299578B,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Canada,Germany,40,1,64,1,28,2,132,4,Canada,field,Al Amarat,Canada,ICC Men's T20 World Cup Qualifier A,1299578,B
69,489212A,2011,Beausejour Stadium,West Indies,Pakistan,47,0,71,2,32,4,150,6,West Indies,bat,St Lucia,West Indies,,489212,A
69,489212B,2011,Beausejour Stadium,Pakistan,West Indies,47,2,63,5,33,2,143,9,West Indies,bat,St Lucia,West Indies,,489212,B
70,1142501A,2018,Hazelaarweg,Netherlands,Ireland,52,2,65,3,27,4,144,9,Ireland,field,Rotterdam,Netherlands,Netherlands Tri-Nation T20I Series,1142501,A
70,1142501B,2018,Hazelaarweg,Ireland,Netherlands,34,2,57,5,49,1,140,8,Ireland,field,Rotterdam,Netherlands,Netherlands Tri-Nation T20I Series,1142501,B
71,287879A,2007,New Wanderers Stadium,India,Pakistan,40,2,74,2,43,1,157,5,India,bat,Johannesburg,India,ICC World Twenty20,287879,A
71,287879B,2007,New Wanderers Stadium,Pakistan,India,53,3,51,4,48,3,152,10,India,bat,Johannesburg,India,ICC World Twenty20,287879,B
72,951353A,2016,M Chinnaswamy Stadium,India,Bangladesh,42,1,72,3,32,2,146,6,Bangladesh,field,Bangalore,India,World T20,951353,A
72,951353B,2016,M Chinnaswamy Stadium,Bangladesh,India,45,1,68,4,32,4,145,9,Bangladesh,field,Bangalore,India,World T20,951353,B
73,298795A,2007,New Wanderers Stadium,New Zealand,South Africa,39,2,58,3,32,1,129,6,South Africa,field,Johannesburg,South Africa,,298795,A
73,298795B,2007,New Wanderers Stadium,South Africa,New Zealand,40,2,69,2,22,2,131,6,South Africa,field,Johannesburg,South Africa,,298795,B
74,951347A,2016,M Chinnaswamy Stadium,Bangladesh,Australia,33,2,75,2,48,0,156,4,Australia,field,Bangalore,Australia,World T20,951347,A
